1	166
1	4
1	93
1	44
1	91
1	3
1	40
1	156
1	44
1	155
1	55
1	133
2	18
2	82
2	165
2	29
2	159
2	126
2	8
3	121
3	67
3	103
3	124
3	100
3	122
3	127
3	104
4	125
4	107
4	64
4	41
5	63
5	141
5	24
5	130
5	52
5	43
5	99
5	69
5	143
5	134
5	128
5	149
5	8
5	159
5	57
5	167
6	15
6	136
6	156
6	72
6	50
6	34
6	121
7	141
7	176
7	30
7	71
7	67
8	81
8	36
8	4
8	85
8	24
8	88
8	18
8	7
8	132
8	91
8	15
9	82
9	128
9	12
9	29
9	143
9	48
9	129
9	156
9	134
10	120
10	57
10	126
11	177
11	156
11	156
11	43
11	130
11	24
12	28
12	12
12	68
12	67
12	116
12	158
12	49
12	64
12	137
12	56
13	17
13	77
13	140
13	118
14	82
14	6
14	49
14	35
14	21
14	176
14	111
14	84
15	157
15	71
15	24
15	12
15	52
15	37
16	49
16	134
16	106
17	13
17	56
17	144
17	140
17	64
17	134
17	127
17	52
18	26
18	125
18	122
18	19
18	27
18	49
18	115
18	106
18	149
18	149
18	80
19	3
19	131
19	11
19	150
19	116
19	151
19	3
19	90
20	102
20	147
20	17
20	113
20	49
20	128
21	143
21	129
21	114
21	160
21	18
22	160
22	123
22	120
22	161
22	14
22	147
22	41
23	37
23	14
23	141
23	115
23	121
24	102
24	158
24	118
24	38
24	56
24	69
24	59
24	139
24	102
24	19
24	102
24	14
24	152
24	107
25	81
25	177
25	41
25	60
25	118
25	82
25	149
26	162
26	148
26	92
26	178
26	138
26	136
27	159
27	98
27	101
27	77
27	113
27	6
27	23
28	103
28	156
28	78
28	163
28	159
28	21
29	175
29	79
29	127
29	40
29	63
29	168
29	96
29	100
30	60
30	109
30	10
30	97
30	76
30	118
30	44
31	1
31	145
31	91
31	118
31	64
32	153
32	124
32	113
32	3
32	67
33	42
33	92
33	166
33	158
33	128
33	115
33	25
33	72
33	148
34	21
34	44
34	107
34	140
34	61
34	103
34	136
34	57
34	24
34	1
35	58
35	132
35	40
35	7
35	85
35	117
35	162
35	110
36	137
36	6
36	34
36	58
36	62
36	73
36	58
36	167
37	6
37	23
37	88
37	87
37	77
38	110
38	66
38	46
38	133
38	154
38	16
38	28
38	15
38	130
38	137
39	126
39	138
39	162
39	92
39	124
39	171
39	154
39	17
39	85
40	45
40	25
40	118
40	62
40	35
40	100
40	63
40	45
40	56
40	5
40	76
41	40
41	116
41	121
41	129
41	139
41	36
41	39
41	156
41	167
41	103
41	21
42	15
42	136
42	54
42	45
42	132
42	47
42	144
42	110
43	118
43	87
43	96
43	74
43	116
43	69
43	36
44	124
44	38
44	157
44	143
44	23
44	1
44	76
44	116
45	136
45	18
45	59
45	11
45	29
45	92
45	153
45	98
45	171
45	159
45	40
46	84
46	116
46	27
46	12
46	124
46	16
46	54
46	91
46	52
46	58
46	165
47	31
47	1
47	48
47	22
48	164
48	175
48	103
48	114
48	116
48	112
48	14
48	79
48	123
48	144
48	9
48	24
48	154
49	136
49	174
49	48
49	173
49	175
49	129
49	116
49	133
49	64
49	148
49	45
49	127
50	170
50	43
50	106
50	87
50	23
50	162
50	48
50	123
50	80
50	63
50	5
50	140
